featureid	s69	s70	s71	s75	s76	s77
ENSG00000000003	1	1	0	8	2	1
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	993	469	664	1172	491	685
ENSG00000000457	385	207	235	610	226	353
ENSG00000000460	849	436	522	1002	430	608
ENSG00000000938	26	6	12	75	43	44
ENSG00000000971	4	2	11	10	7	7
ENSG00000001036	3	1	2	1	0	0
ENSG00000001084	1767	861	995	1984	864	1124
ENSG00000001167	3404	1658	1908	4133	1953	2591
ENSG00000001460	46	18	20	2	7	7
ENSG00000001461	1356	670	770	811	388	536
ENSG00000001497	2986	1485	1566	3102	1291	1793
ENSG00000001561	526	277	358	678	255	391
ENSG00000001617	123	52	51	120	52	73
ENSG00000001626	6	2	0	1	2	5
ENSG00000001629	1478	780	918	1445	606	922
ENSG00000001630	397	165	192	513	213	338
ENSG00000001631	976	543	543	1078	440	641
ENSG00000002016	206	107	115	137	40	75
ENSG00000002079	0	0	1	0	0	0
ENSG00000002330	655	264	317	620	246	374
ENSG00000002549	2414	1186	1356	2382	1061	1477
ENSG00000002586	10474	5114	5630	10136	4399	6486
ENSG00000002587	0	1	0	3	0	0
ENSG00000002726	3	0	4	1	2	0
ENSG00000002745	0	0	0	2	0	0
ENSG00000002746	0	0	1	2	0	2
ENSG00000002822	1082	501	590	1233	491	817
ENSG00000002834	6451	2947	3404	11134	4589	7878
ENSG00000002919	973	485	500	1218	521	849
ENSG00000002933	3	2	0	1	0	2
ENSG00000003056	4252	1985	2252	5640	2300	3386
ENSG00000003096	0	0	0	0	0	0
ENSG00000003137	421	193	220	563	258	401
ENSG00000003147	176	70	111	161	69	88
ENSG00000003249	236	132	151	379	170	252
ENSG00000003393	873	399	469	1233	518	701
ENSG00000003400	255	95	118	317	123	188
ENSG00000003402	1437	639	853	3952	1591	2497
ENSG00000003436	33	17	17	43	18	38
ENSG00000003509	264	119	127	300	132	165
ENSG00000003756	3177	1490	1798	3637	1511	1959
ENSG00000003987	29	13	12	19	9	11
ENSG00000003989	0	0	0	0	0	0
ENSG00000004059	2585	1278	1412	2634	1139	1838
ENSG00000004139	682	283	321	547	264	329
ENSG00000004142	5075	2367	2654	4587	2066	3149
ENSG00000004399	996	431	544	1435	574	1046
ENSG00000004455	9845	4924	5279	9081	3903	5646
ENSG00000004468	234	104	159	178	78	140
ENSG00000004478	9685	4574	4731	8765	3699	5575
ENSG00000004487	6083	2914	3241	5057	2212	3120
ENSG00000004534	2281	1106	1271	2320	971	1273
ENSG00000004660	480	227	255	683	279	390
ENSG00000004700	2001	998	1199	2263	953	1404
ENSG00000004766	615	317	362	626	243	349
ENSG00000004776	14	10	4	17	9	7
ENSG00000004777	1811	818	855	1231	600	741
ENSG00000004779	2640	1283	1371	2888	1120	1539
